Patent #	Patent Title	Lab	Issue Date	
6924928	Amplification device utilizing thulium doped modified silicate optical fiber	Naval Research Laboratory	8/2/2005	
6695986	Electrocatalytic enhancement with catalyst-modified carbon-silica composite aerogels	Naval Research Laboratory	2/24/2004	
6686680	Method and apparatus for regulating electron emission in field emitter devices	Naval Research Laboratory	2/3/2004	
RE36979	Surface conforming flexible eddy current probe for scanning varying surface contours	NAVSEA Carderock	12/5/2000	
5003050	Diazoluminomelanin and a method for preparing same	Human Effectiveness Directorate	3/26/1991	
8050849	Mixed-mode fuel minimization	Naval Postgraduate School	11/1/2011	
8019090	Active feedforward disturbance control system	Naval Postgraduate School	9/13/2011	
8018096	"Inductive pulse forming network for high-current, high-power applications"	Naval Postgraduate School	9/13/2011	
8011239	In situ sediment ecotoxicity assessment system	"SPAWAR Systems Center, Pacific"	9/6/2011	
8014745	High isolation multiple carrier system architecture for communications	"SPAWAR Systems Center, Pacific"	9/6/2011	
8009086	System and method for geo-locating a receiver with reduced power consumption	"SPAWAR Systems Center, Pacific"	8/30/2011	
8006937	Spacecraft docking interface mechanism	Naval Postgraduate School	8/30/2011	
7994992	Multiband current probe fed antenna	"SPAWAR Systems Center, Pacific"	8/9/2011	
7987805	Neutrally buoyant submerged system using lesser density ballast fluid	"SPAWAR Systems Center, Pacific"	8/2/2011	
7987286	Distributed situation awareness ping-based communication system (DAPICS)	"SPAWAR Systems Center, Pacific"	7/26/2011	
7984685	Neutrally buoyant submerged system using greater density ballast fluid	"SPAWAR Systems Center, Pacific"	7/26/2011	
7986809	Equation of linked multiple source measurements to a uniquely identified object	"SPAWAR Systems Center, Pacific"	7/26/2011	
7980488	Sprinkler with geared viscous hesitator and related method	"U.S. Army Armament Research, Development and Engineering Center"	7/19/2011	
7969370	Liquid antennas	"SPAWAR Systems Center, Pacific"	6/28/2011	
7966923	Conformable self-healing ballistic armor	"Tank-Automotive Research, Development and Engineering Center"	6/28/2011	
7954268	Torsion spring recoil system for the forend of a firearm	"U.S. Army Armament Research, Development and Engineering Center"	6/7/2011	
7957858	Method for determining projected obstacle areas for moving obstacles	"SPAWAR Systems Center, Pacific"	6/7/2011	
7954270	Reversible rail for a firearm	"U.S. Army Armament Research, Development and Engineering Center"	6/7/2011	
7954971	Offset mountable light accessory	"U.S. Army Armament Research, Development and Engineering Center"	6/7/2011	
7952109	Light-emitting crystal structures	"U.S. Army Armament Research, Development and Engineering Center"	5/31/2011	
7946210	Vehicle protective structure	"U.S. Army Armament Research, Development and Engineering Center"	5/24/2011	
7948151	Electroactive polymer-based artificial neuromuscular unit	"SPAWAR Systems Center, Pacific"	5/24/2011	
7942105	Foot operated scupper plug	"SPAWAR Systems Center, Pacific"	5/17/2011	
7941960	Rail clamp mount	"U.S. Army Armament Research, Development and Engineering Center"	5/17/2011	
7941961	System for receiving spent cartridge cases from a firearm	"U.S. Army Armament Research, Development and Engineering Center"	5/17/2011	
7938066	Strip charge storage arrangement	NAVSEA Crane	5/10/2011	
7938065	Efficient exploding foil initiator and process for making same	"U.S. Army Armament Research, Development and Engineering Center"	5/10/2011	
7934190	Multiple amplifier matching over lumped networks of arbitrary topology	"SPAWAR Systems Center, Pacific"	4/26/2011	
D636836	Rail-mounted sling adapter	"U.S. Army Armament Research, Development and Engineering Center"	4/26/2011	
7927102	Simulation devices and systems for rocket propelled grenades and other weapons	"U.S. Army Armament Research, Development and Engineering Center"	4/19/2011	
7926217	Self-supporting composite material firearm stock	"U.S. Army Armament Research, Development and Engineering Center"	4/19/2011	
7929374	Multi-static object tracker using specular cue initiation and directed data retrieval	"SPAWAR Systems Center, Pacific"	4/19/2011	
7926218	Laser aiming apparatus using a rocker	"U.S. Army Armament Research, Development and Engineering Center"	4/19/2011	
7928924	Variable position antenna shield	"SPAWAR Systems Center, Pacific"	4/19/2011	
7925496	Method for summarizing natural language text	"SPAWAR Systems Center, Pacific"	4/12/2011	
7925605	Evolutionary expert systems and methods using meta-rules matching	"SPAWAR Systems Center, Pacific"	4/12/2011	
7913944	Cable brake for sea deployments of light cable	"SPAWAR Systems Center, Pacific"	3/29/2011	
7911690	Firearm sighting device for viewing around obstacles	"U.S. Army Armament Research, Development and Engineering Center"	3/22/2011	
7908784	Accessory mount apparatus	"U.S. Army Armament Research, Development and Engineering Center"	3/22/2011	
7909301	Grip with bipod	"U.S. Army Armament Research, Development and Engineering Center"	3/22/2011	
7908782	Pivot mount for firearm sighting devices	"U.S. Army Armament Research, Development and Engineering Center"	3/22/2011	
